shipment_id,departure_timestamp,origin_port,destination_port,origin_region,destination_region,route_corridor,ocean_side,vessel_type,cargo_type,distance_nm,avg_speed_knots,baseline_eta_days,weather_delay_days,port_handling_days,geopolitical_event,geopolitical_delay_days,expected_delay_days,adjusted_eta_days,risk_score,freight_cost_index,baseline_arrival_timestamp,adjusted_arrival_timestamp,delay_class
SHP-0000027,2025-01-08 21:00:00,Rotterdam,Dubai,Europe,Middle East,Suez Corridor,Indian-Atlantic Side,Container,Electronics,2961.4,17.8,6.93,0.32,1.69,None,0.0,2.01,8.94,0.317,1.04,2025-01-15 19:24:41.849656790,2025-01-17 19:33:26.354105928,delayed
SHP-0000028,2025-04-24 22:00:00,Shanghai,Santos,East Asia,South America,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,11429.9,21.9,21.7,1.32,0.94,None,0.0,2.26,23.96,0.338,1.045,2025-05-16 14:46:44.847843263,2025-05-18 20:58:42.375480579,delayed
SHP-0000029,2025-05-06 05:00:00,Sydney,Singapore,Oceania,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,3881.8,17.3,9.37,0.49,1.07,Port Strike,1.18,2.74,12.11,0.461,1.105,2025-05-15 13:55:14.516381176,2025-05-18 07:44:19.474934760,delayed
SHP-0000030,2025-07-14 02:00:00,Houston,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,8888.9,20.5,18.06,0.56,0.85,None,0.0,1.41,19.48,0.268,1.028,2025-08-01 03:31:26.025767394,2025-08-02 13:26:02.169386030,on_time
SHP-0000031,2025-03-21 03:00:00,Durban,Dubai,Africa,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Machinery,4091.2,21.7,7.86,0.73,0.47,None,0.0,1.2,9.07,0.25,1.024,2025-03-28 23:43:19.502713617,2025-03-30 04:36:35.229844886,on_time
SHP-0000032,2025-11-19 06:00:00,Durban,Dubai,Africa,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,4091.2,12.7,13.4,1.11,0.98,Red Sea Tension,2.03,4.12,17.53,0.639,1.17,2025-12-02 15:41:27.781554128,2025-12-06 18:38:24.609516336,critical_delay
SHP-0000033,2025-02-22 19:00:00,Mumbai,Dubai,South Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Food,1191.1,14.8,3.36,0.0,1.14,None,0.0,1.14,4.5,0.245,1.023,2025-02-26 03:32:28.115558113,2025-02-27 06:57:26.856347371,on_time
SHP-0000034,2025-03-05 16:00:00,Santos,Dubai,South America,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Electronics,7517.6,15.5,20.16,1.03,1.36,None,0.0,2.39,22.55,0.349,1.048,2025-03-25 19:52:21.811769042,2025-03-28 05:09:00.209602316,delayed
SHP-0000035,2025-05-29 04:00:00,Santos,Sydney,South America,Oceania,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,8200.6,17.8,19.22,0.39,1.29,None,0.0,1.68,20.9,0.29,1.034,2025-06-17 09:17:15.606528838,2025-06-19 01:35:00.875017636,delayed
SHP-0000036,2025-06-12 02:00:00,Houston,Los Angeles,North America,North America,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,1357.5,19.4,2.92,1.08,0.71,None,0.0,1.79,4.71,0.299,1.036,2025-06-15 00:07:11.293908712,2025-06-16 19:03:38.980854964,delayed
SHP-0000037,2025-08-13 17:00:00,Mumbai,Durban,South Asia,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,4339.4,14.8,12.22,0.17,0.95,None,0.0,1.12,13.35,0.244,1.022,2025-08-25 22:23:46.764601339,2025-08-27 01:20:50.627569827,on_time
SHP-0000038,2025-12-18 09:00:00,Durban,Los Angeles,Africa,North America,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,10521.1,15.8,27.74,0.96,0.99,None,0.0,1.95,29.69,0.313,1.039,2026-01-15 02:39:36.890673569,2026-01-17 01:31:18.754459550,delayed
SHP-0000039,2025-11-10 01:00:00,Singapore,Shanghai,Southeast Asia,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,2342.6,17.6,5.56,0.69,0.95,None,0.0,1.64,7.2,0.287,1.033,2025-11-15 14:27:07.941066805,2025-11-17 05:46:37.240745413,delayed
SHP-0000040,2025-04-19 20:00:00,Dubai,Houston,Middle East,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,8093.2,17.0,19.86,0.4,0.62,None,0.0,1.02,20.88,0.235,1.02,2025-05-09 16:38:15.030410896,2025-05-10 17:06:15.424989523,on_time
SHP-0000041,2025-10-21 09:00:00,Sydney,Santos,Oceania,South America,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8200.6,20.8,16.42,0.72,0.84,None,0.0,1.56,17.98,0.28,1.031,2025-11-06 19:05:38.809514526,2025-11-08 08:31:39.058903390,delayed
SHP-0000042,2025-09-17 19:00:00,Los Angeles,Durban,North America,Africa,Cape Diversion,Indian-Atlantic Side,Container,Food,10521.1,20.4,21.48,1.2,0.75,None,0.0,1.95,23.43,0.312,1.039,2025-10-09 06:37:12.546630701,2025-10-11 05:21:35.716867323,delayed
SHP-0000043,2025-08-17 14:00:00,Santos,Houston,South America,North America,Panama Corridor,Atlantic-Pacific Side,Bulk Carrier,Electronics,4717.5,13.1,15.03,1.72,1.5,Red Sea Tension,1.17,4.4,19.43,0.601,1.139,2025-09-01 14:42:09.950924652,2025-09-06 00:15:22.197436548,critical_delay
SHP-0000044,2025-10-23 19:00:00,Houston,Los Angeles,North America,North America,Cape Diversion,Indian-Atlantic Side,Container,Food,1357.5,17.6,3.22,1.7,1.12,None,0.0,2.81,6.03,0.385,1.056,2025-10-27 00:10:13.624374676,2025-10-29 19:43:47.746844745,delayed
SHP-0000045,2025-02-02 07:00:00,Houston,Dubai,North America,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8093.2,19.0,17.73,0.0,1.27,Panama Drought,2.2,3.47,21.2,0.559,1.15,2025-02-20 00:27:30.041665868,2025-02-23 11:51:02.411157193,delayed
SHP-0000046,2025-12-09 18:00:00,Santos,Mumbai,South America,South Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,8463.8,16.1,21.88,0.0,0.43,None,0.0,0.43,22.31,0.185,1.009,2025-12-31 15:12:30.762434324,2026-01-01 01:24:33.343863171,on_time
SHP-0000047,2025-05-12 08:00:00,Singapore,Rotterdam,Southeast Asia,Europe,Suez Corridor,Indian-Atlantic Side,Bulk Carrier,Machinery,6139.1,12.7,20.17,0.79,0.75,Suez Disruption,1.8,3.35,23.52,0.537,1.144,2025-06-01 12:01:35.076677554,2025-06-04 20:21:47.939079309,delayed
SHP-0000048,2025-03-08 01:00:00,Mumbai,Singapore,South Asia,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,2403.0,21.8,4.59,0.55,1.67,None,0.0,2.22,6.81,0.335,1.044,2025-03-12 15:10:11.971954096,2025-03-14 20:23:02.058160925,delayed
SHP-0000049,2025-06-14 07:00:00,Santos,Durban,South America,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,4649.8,13.3,14.61,0.46,0.54,None,0.0,1.0,15.61,0.233,1.02,2025-06-28 21:39:43.364981995,2025-06-29 21:41:33.607297642,on_time
SHP-0000050,2025-11-11 19:00:00,Durban,Los Angeles,Africa,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Auto Parts,10521.1,17.2,25.5,0.03,1.19,None,0.0,1.22,26.72,0.252,1.024,2025-12-07 07:00:30.337695408,2025-12-08 12:22:33.458028513,on_time
SHP-0000051,2025-05-09 01:00:00,Durban,Santos,Africa,South America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,4649.8,13.8,14.01,0.42,1.61,None,0.0,2.02,16.04,0.319,1.04,2025-05-23 01:21:27.325717404,2025-05-25 01:56:46.783618702,delayed
SHP-0000052,2025-02-12 13:00:00,Durban,Sydney,Africa,Oceania,Cape Diversion,Indian-Atlantic Side,Container,Machinery,6492.4,15.7,17.26,0.57,0.47,Suez Disruption,1.6,2.63,19.89,0.465,1.12,2025-03-01 19:08:04.956338561,2025-03-04 10:20:51.944716438,delayed
SHP-0000053,2025-06-10 03:00:00,Dubai,Los Angeles,Middle East,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Electronics,8263.9,12.5,27.5,0.19,0.8,None,0.0,0.99,28.49,0.233,1.02,2025-07-07 14:56:27.396931603,2025-07-08 14:44:33.245135926,on_time
SHP-0000054,2025-11-29 21:00:00,Singapore,Los Angeles,Southeast Asia,North America,Pacific Crossing,Pacific Side,Container,Food,7786.4,15.9,20.44,0.75,0.75,None,0.0,1.5,21.94,0.275,1.03,2025-12-20 07:34:49.110677509,2025-12-21 19:36:28.331915385,delayed
SHP-0000055,2025-10-14 09:00:00,Los Angeles,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Container,Chemicals,4851.5,17.7,11.43,1.93,1.61,None,0.0,3.54,14.97,0.445,1.071,2025-10-25 19:23:34.556546446,2025-10-29 08:18:26.901345772,delayed
SHP-0000056,2025-08-25 11:00:00,Houston,Durban,North America,Africa,Cape Diversion,Indian-Atlantic Side,Container,Textiles,9167.1,22.0,17.38,1.79,1.52,None,0.0,3.3,20.68,0.425,1.066,2025-09-11 20:01:20.366595586,2025-09-15 03:19:30.293056139,delayed
SHP-0000057,2025-01-07 17:00:00,Shanghai,Dubai,East Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,3955.7,15.7,10.47,1.25,1.53,None,0.0,2.78,13.25,0.382,1.056,2025-01-18 04:09:38.926912561,2025-01-20 22:56:23.433149791,delayed
SHP-0000058,2025-06-29 01:00:00,Houston,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Container,Food,4358.4,22.2,8.17,0.18,0.73,None,0.0,0.91,9.08,0.226,1.018,2025-07-07 05:04:26.250703011,2025-07-08 03:01:19.893568915,on_time
SHP-0000059,2025-02-11 11:00:00,Durban,Rotterdam,Africa,Europe,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,5820.3,15.3,15.85,0.6,1.68,None,0.0,2.28,18.13,0.34,1.046,2025-02-27 07:24:58.143224900,2025-03-01 14:09:41.880590205,delayed
SHP-0000060,2025-11-14 21:00:00,Santos,Durban,South America,Africa,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,4649.8,15.6,12.44,0.0,1.46,None,0.0,1.46,13.91,0.272,1.029,2025-11-27 07:37:20.296456207,2025-11-28 18:46:37.406109498,on_time
SHP-0000061,2025-02-12 08:00:00,Santos,Singapore,South America,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,9809.7,20.6,19.85,0.76,0.43,None,0.0,1.19,21.04,0.249,1.024,2025-03-04 04:20:56.250565938,2025-03-05 08:59:50.154880577,on_time
SHP-0000062,2025-11-24 21:00:00,Sydney,Shanghai,Oceania,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,4851.4,19.0,10.62,0.98,1.64,None,0.0,2.62,13.24,0.368,1.052,2025-12-05 11:50:22.435797454,2025-12-08 02:43:51.911862669,delayed
SHP-0000063,2025-09-26 07:00:00,Sydney,Dubai,Oceania,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,7417.1,20.4,15.13,0.1,0.8,None,0.0,0.9,16.03,0.225,1.018,2025-10-11 10:06:16.955727324,2025-10-12 07:41:42.377177063,on_time
SHP-0000064,2025-11-25 20:00:00,Singapore,Los Angeles,Southeast Asia,North America,Pacific Crossing,Pacific Side,Container,Textiles,7786.4,22.6,14.35,0.0,1.8,None,0.0,1.8,16.15,0.3,1.036,2025-12-10 04:29:43.510113021,2025-12-11 23:39:12.314272999,delayed
SHP-0000065,2025-10-13 23:00:00,Los Angeles,Sydney,North America,Oceania,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,7420.1,17.8,17.33,0.81,1.2,Red Sea Tension,2.33,4.33,21.66,0.679,1.188,2025-10-31 06:51:50.961722362,2025-11-04 14:53:23.658747118,critical_delay
SHP-0000066,2025-11-26 20:00:00,Shanghai,Sydney,East Asia,Oceania,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,4851.4,14.5,13.94,1.04,0.64,Panama Drought,2.52,4.2,18.15,0.637,1.178,2025-12-10 18:39:56.558352081,2025-12-14 23:30:49.223045655,critical_delay
SHP-0000067,2025-12-22 09:00:00,Durban,Singapore,Africa,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Electronics,5190.8,16.5,13.11,0.39,0.8,None,0.0,1.19,14.3,0.249,1.024,2026-01-04 11:45:25.693952281,2026-01-05 16:17:24.450774754,on_time
SHP-0000068,2025-02-06 14:00:00,Durban,Dubai,Africa,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Machinery,4091.2,17.2,9.89,0.59,1.2,None,0.0,1.79,11.68,0.299,1.036,2025-02-16 11:21:11.082932064,2025-02-18 06:13:15.294783351,delayed
SHP-0000069,2025-07-23 15:00:00,Sydney,Santos,Oceania,South America,Cape Diversion,Indian-Atlantic Side,Container,Textiles,8200.6,18.7,18.26,0.49,1.7,Strait of Malacca Tension,2.24,4.43,22.69,0.655,1.184,2025-08-10 21:12:21.615122390,2025-08-15 07:31:28.675295235,critical_delay
SHP-0000070,2025-07-22 11:00:00,Singapore,Los Angeles,Southeast Asia,North America,Pacific Crossing,Pacific Side,Tanker,Electronics,7786.4,15.6,20.8,0.0,1.6,Hormuz Tension,2.37,3.97,24.77,0.643,1.191,2025-08-12 06:18:59.388802519,2025-08-16 05:31:08.724172791,delayed
SHP-0000071,2025-09-21 19:00:00,Durban,Shanghai,Africa,East Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,7207.8,14.5,20.74,0.06,0.75,None,0.0,0.82,21.56,0.218,1.016,2025-10-12 12:52:46.048154275,2025-10-13 08:26:49.245175633,on_time
SHP-0000072,2025-12-24 03:00:00,Rotterdam,Los Angeles,Europe,North America,Atlantic Crossing,Atlantic Side,Bulk Carrier,Machinery,4851.5,15.9,12.74,0.28,0.67,None,0.0,0.95,13.69,0.229,1.019,2026-01-05 20:42:33.558685464,2026-01-06 19:34:07.339110461,on_time
SHP-0000073,2025-12-28 20:00:00,Sydney,Shanghai,Oceania,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,4851.4,19.0,10.65,0.85,0.97,None,0.0,1.82,12.47,0.302,1.036,2026-01-08 11:41:43.554933867,2026-01-10 07:19:48.502124224,delayed
SHP-0000074,2025-10-28 08:00:00,Singapore,Los Angeles,Southeast Asia,North America,Pacific Crossing,Pacific Side,Bulk Carrier,Textiles,7786.4,12.5,26.03,0.67,0.85,None,0.0,1.52,27.55,0.277,1.03,2025-11-23 08:45:23.196304056,2025-11-24 21:17:40.491985983,delayed
SHP-0000075,2025-08-08 20:00:00,Shanghai,Dubai,East Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Electronics,3955.7,12.2,13.48,0.7,0.63,Port Strike,1.7,3.03,16.51,0.522,1.133,2025-08-22 07:26:54.997285626,2025-08-25 08:11:16.084377801,delayed
SHP-0000076,2025-03-27 22:00:00,Shanghai,Mumbai,East Asia,South Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,3097.7,14.0,9.22,0.87,0.52,None,0.0,1.38,10.61,0.265,1.028,2025-04-06 03:19:46.895949770,2025-04-07 12:33:22.829684794,on_time
SHP-0000077,2025-01-03 16:00:00,Santos,Mumbai,South America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Textiles,8463.8,21.9,16.07,1.68,1.3,None,0.0,2.98,19.05,0.398,1.06,2025-01-19 17:37:43.928905667,2025-01-22 17:08:16.200598663,delayed
SHP-0000078,2025-11-30 14:00:00,Shanghai,Houston,East Asia,North America,Pacific Crossing,Pacific Side,Bulk Carrier,Machinery,6716.7,12.2,22.94,0.12,0.71,None,0.0,0.83,23.77,0.219,1.017,2025-12-23 12:39:43.771049835,2025-12-24 08:29:42.081495642,on_time
SHP-0000079,2025-04-18 00:00:00,Sydney,Los Angeles,Oceania,North America,Cape Diversion,Indian-Atlantic Side,Container,Textiles,7420.1,21.9,14.14,0.82,1.35,None,0.0,2.17,16.31,0.331,1.043,2025-05-02 03:22:57.535887204,2025-05-04 07:27:36.278608884,delayed
SHP-0000080,2025-08-16 15:00:00,Durban,Los Angeles,Africa,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Electronics,10521.1,16.4,26.67,0.0,1.32,None,0.0,1.32,28.0,0.26,1.026,2025-09-12 07:07:27.543294192,2025-09-13 14:53:30.300720659,on_time
SHP-0000081,2025-03-26 11:00:00,Durban,Shanghai,Africa,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,7207.8,20.9,14.4,1.44,1.22,Suez Disruption,1.92,4.58,18.98,0.647,1.176,2025-04-09 20:29:50.620707674,2025-04-14 10:30:39.974647870,critical_delay
SHP-0000082,2025-04-23 07:00:00,Santos,Shanghai,South America,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,11429.9,17.2,27.65,0.32,1.33,None,0.0,1.65,29.3,0.288,1.033,2025-05-20 22:39:32.411127392,2025-05-22 14:16:47.378406601,delayed
SHP-0000083,2025-08-08 02:00:00,Houston,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Container,Chemicals,4358.4,20.6,8.81,1.12,1.75,None,0.0,2.87,11.68,0.39,1.057,2025-08-16 21:23:07.191438578,2025-08-19 18:22:50.606239065,delayed
SHP-0000084,2025-08-23 02:00:00,Santos,Durban,South America,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Textiles,4649.8,15.4,12.57,0.02,0.71,None,0.0,0.73,13.29,0.211,1.015,2025-09-04 15:34:47.927210969,2025-09-05 09:00:42.271321965,on_time
SHP-0000085,2025-10-08 16:00:00,Santos,Los Angeles,South America,North America,Panama Corridor,Atlantic-Pacific Side,Bulk Carrier,Chemicals,5906.0,15.5,15.83,0.31,0.66,Hormuz Tension,1.6,2.58,18.4,0.475,1.125,2025-10-24 11:52:07.371627888,2025-10-27 01:40:42.900311043,delayed
SHP-0000086,2025-01-17 07:00:00,Dubai,Mumbai,Middle East,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,1191.1,18.7,2.65,0.66,1.8,None,0.0,2.45,5.11,0.355,1.049,2025-01-19 22:42:59.651272370,2025-01-22 09:37:57.661967717,delayed
SHP-0000087,2025-09-03 12:00:00,Sydney,Dubai,Oceania,Middle East,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,7417.1,15.2,20.31,0.64,0.77,None,0.0,1.41,21.71,0.267,1.028,2025-09-23 19:22:52.829076048,2025-09-25 05:06:55.353550564,on_time
SHP-0000088,2025-05-29 09:00:00,Durban,Mumbai,Africa,South Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Food,4339.4,15.8,11.41,0.01,1.69,None,0.0,1.71,13.12,0.292,1.034,2025-06-09 18:47:27.792584551,2025-06-11 11:48:03.989646509,delayed
SHP-0000089,2025-09-15 16:00:00,Sydney,Santos,Oceania,South America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,8200.6,13.0,26.21,0.1,1.19,None,0.0,1.29,27.5,0.257,1.026,2025-10-11 21:02:42.062595285,2025-10-13 03:57:04.731837275,on_time
